서경 | 평양
마르는 | 이지만
데 | 곳
닷곤데 | 닦은 곳
닷곤 | 닦은 곳
쇼셩경 | 작은 서울
고외마른 | 사랑합니다마는
여희므론 | 이별하기 보단
여므논 | 이별하기 보단
질삼뵈 | 길쌈 베
바리시고 | 버리고
괴신란데 | 사랑해주신다면
괴시란 | 사랑해주신다면
우러곰 | 울면서
좃니노이다 | 따르겠습니다
구스리 | 구슬이
바회예 | 바위에
디신달 | 떨어진 들
긴히딴 | 끈이야
긴히 | 끈이야
즈믄 | 천년
내여 | 배 내어
그츠리잇가 | 끊어지겠습니까
즈믄해 | 천년
녈 | 떠나가는 배
외오곰 | 외로이
녀신달 | 살아간들
신잇단 | 믿음이야
그츠리잇가 | 끊어지겠습니까?
너븐디 | 넓은줄
녈배 | 떠나가는 배
연즌다 | 얹었느냐
고즐 | 꽃을
것고리이다. | 꺾을 것입니다.
들면 것고리이다.
타들면 | 배 타면
셔경이 셔울히 마르는 | 서울이 서울이지마는
닷곤 쇼셩경 고마른 | 새로 닦은 작은 서울을 좋아합니다만
여므논 질삼뵈 리고 | 사랑만 해주신다면 길쌈 베 버리고
괴시란 우러곰 좃니노이다 | 사랑만해주신다면 울면서 따르겠습니다.
구스리 바회예 디신 | 구슬이 바위에 떨어진 들
긴히 그츠리잇가 나 | 끈이야 끊어지겠습니까?
즈믄를 외오곰 녀신 | 천년을 외롭게 살아간들
信잇 그즈리잇가 나 | 믿음이야 끊어지겠습니까?
너븐디 몰라셔 | 넓은 줄 몰라서
내여 노다 샤공아 | 배 내어 놓았느냐 사공아
